category,name,brand,stock_status,cost_tl,cost_usd,sale_usd,sale_tl,price_date,supplier
Panel,12W POLİKRİSTAL GÜNEŞ PANELİ,LEXRON,in_stock,612.99,12.99,15.85,747.85,2026-08-10,ACS
Panel,25W POLİKRİSTAL GÜNEŞ PANELİ,LEXRON,in_stock,995.67,21.09,25.73,1214.72,2026-08-10,ACS
Panel,350W POLYKRISTAL GÜNEŞ PANELİ,LEXRON,in_stock,4242.42,89.88,109.65,5175.75,2026-08-10,ACS
Panel,350W ECOSOL POLYKRISTAL GÜNEŞ PANELİ,LEXRON,in_stock,3578.64,75.82,92.5,4365.94,2026-08-10,ACS
Panel,55W MONOKRİSTAL GÜNEŞ PANELİ,LEXRON,in_stock,1904.76,40.36,49.24,2323.81,2026-08-10,ACS
Panel,285W 16BB HALF-CUT TOPCON MONO GÜNEŞ PANELİ -KARAVAN ÖZEL ÜRETİM,LEXRON,in_stock,5428.57,115.01,140.31,6622.86,2026-08-10,ACS
Panel,175W HALF-CUT TOPCON MONO GÜNEŞ PANELİ,LEXRON,in_stock,3434.34,72.76,88.77,4189.89,2026-08-10,ACS
Panel,140W ECOSOL HALF-CUT TOPCON MONO GÜNEŞ PANELİ,LEXRON,in_stock,2828.28,59.92,73.1,3450.5,2026-08-10,ACS
Panel,330W 64 CELL 16BB HALF-CUT TOPCON GÜNEŞ PANELİ,LEXRON,in_stock,5047.61,106.94,130.47,6158.08,2026-08-10,ACS
Panel,240W 48 CELL 16BB HALF-CUT TOPCON GÜNEŞ PANELİ,LEXRON,in_stock,4502.16,95.38,116.36,5492.64,2026-08-10,ACS
Panel,160W 32 CELL 16BB HALF-CUT TOPCON GÜNEŞ PANELİ,LEXRON,in_stock,3232.32,68.48,83.55,3943.43,2026-08-10,ACS
Panel,450W BIFACIAL 78 CELL 16BB HALF-CUT TOPCON GÜNEŞ PANELİ,LEXRON,in_stock,6233.76,132.07,161.13,7605.19,2026-08-10,ACS
Panel,750W BIFACIAL 132 CELL 16BB HALF-CUT TOPCON GÜNEŞ PANELİ,LEXRON,in_stock,8658.0,183.43,223.78,10562.76,2026-08-10,ACS
Panel,655W 132 CELL 16BB HALF-CUT TOPCON 16BB GÜNEŞ PANELİ,LEXRON,in_stock,8317.45,176.22,214.99,10147.29,2026-08-10,ACS
Panel,220W 16BB ETFE 210R ESNEK TOPCON GÜNEŞ PANELİ,LEXRON,in_stock,22857.12,484.26,590.8,27885.69,2026-08-10,ACS
Panel,195W 16BB ETFE ESNEK TOPCON GÜNEŞ PANELİ,LEXRON,in_stock,20259.72,429.23,523.66,24716.86,2026-08-10,ACS
Panel,390W 78 CELL 16BB HALF-CUT TOPCON GÜNEŞ PANELİ,LEXRON,out_of_stock,5772.0,122.29,149.19,7041.84,2026-08-10,ACS
Akü Batarya,100AH 12.8V LİTYUM BATARYA,LEXRON,in_stock,17027.4,360.75,440.12,20773.43,2026-08-10,ACS
Akü Batarya,100AH 25.6V LİTYUM BATARYA,LEXRON,in_stock,28571.4,605.33,738.5,34857.11,2026-08-10,ACS
Akü Batarya,100AH 48V LİTYUM BATARYA,LEXRON,in_stock,41847.0,886.59,1081.64,51053.34,2026-08-10,ACS
Akü Batarya,100AH 51.2V PREMİUM SERİSİ (DUVAR TİPİ) LİTYUM BATARYA,LEXRON,in_stock,53679.6,1137.28,1387.48,65489.11,2026-08-10,ACS
Akü Batarya,200AH 25.6V LİTYUM BATARYA,LEXRON,in_stock,49062.0,1039.45,1268.13,59855.64,2026-08-10,ACS
Akü Batarya,314AH 51.2V PREMİUM SERİSİ LİTYUM BATARYA,LEXRON,in_stock,150072.0,3179.49,3878.98,183087.84,2026-08-10,ACS
Akü Batarya,100AH 51.2V PREMİUM SERİSİ LİTYUM BATARYA,LEXRON,in_stock,49062.0,1039.45,1268.13,59855.64,2026-08-10,ACS
Akü Batarya,200AH 12.8V LİTYUM BATARYA,LEXRON,in_stock,28571.4,605.33,738.5,34857.11,2026-08-10,ACS
Akü Batarya,15AH-12V NANO-KARBON JEL AKÜ,LEXRON,in_stock,1443.0,30.57,37.3,1760.46,2026-08-10,ACS
Akü Batarya,43AH-12V NANO-KARBON JEL AKÜ,LEXRON,in_stock,3520.92,74.6,91.01,4295.52,2026-08-10,ACS
Akü Batarya,70AH-12V NANO-KARBON JEL AKÜ,LEXRON,in_stock,5165.94,109.45,133.53,6302.45,2026-08-10,ACS
Akü Batarya,7AH-12V AGM AKÜ,LEXRON,in_stock,461.76,9.78,11.93,563.35,2026-08-10,ACS
Akü Batarya,7.2AH-12V AGM AKÜ,LEXRON,in_stock,548.34,11.62,14.18,668.97,2026-08-10,ACS
Akü Batarya,12AH-12V AGM AKÜ,LEXRON,in_stock,836.94,17.73,21.63,1021.07,2026-08-10,ACS
Akü Batarya,105AH-12V NANO-KARBON JEL AKÜ,LEXRON,in_stock,7792.2,165.09,201.41,9506.48,2026-08-10,ACS
Akü Batarya,160AH-12V NANO-KARBON JEL AKÜ,LEXRON,in_stock,11832.6,250.69,305.84,14435.77,2026-08-10,ACS
Akü Batarya,210AH-12V NANO-KARBON JEL AKÜ,LEXRON,in_stock,15584.4,330.18,402.82,19012.97,2026-08-10,ACS
Akü Batarya,25AH-12V NANO-KARBON JEL AKÜ,LEXRON,out_of_stock,1702.74,36.07,44.01,2077.34,2026-08-10,ACS
Akü Batarya,9AH-12V AGM AKÜ,LEXRON,out_of_stock,721.5,15.29,18.65,880.23,2026-08-10,ACS
İnverter,2000W-24V MODİFİYE SİNÜS İNVERTER,LEXRON,in_stock,5079.36,107.61,131.28,6196.82,2026-08-10,ACS
İnverter,11KW HV 2XMPPT AKILLI INVERTER 48V,LEXRON,in_stock,33766.2,715.39,872.78,41194.76,2026-08-10,ACS
